"","Origin","Target","Distance"
"457","Haringey","Southwark",8.61882540511325
"458","Haringey","Sutton",10.4488920773614
"459","Haringey","Tower Hamlets",15.0872593897297
"460","Haringey","Waltham Forest",13.1249020329268
"461","Haringey","Wandsworth",18.1586091150706
"462","Haringey","Westminster",5.35585234919183
"463","Harrow","Barking and Dagenham",17.4640799089246
"464","Harrow","Barne",7.65487083227099
"465","Harrow","Bexley",22.5404117749532
"466","Harrow","Brent",11.6639171599146
"467","Harrow","Bromley",26.6868596780173
"468","Harrow","Camden",5.99367612599619
"469","Harrow","City of London",8.51397215211698
"470","Harrow","Croydon",9.31346062269968
"471","Harrow","Ealing",26.1856553056501
"472","Harrow","Enfield",17.243265004859
"473","Harrow","Greenwich",6.8869647498129
"474","Harrow","Hackney",17.1546707062801
"475","Harrow","Hammersmith and Fulham",5.22895623648007
"476","Harrow","Haringey",13.2028725586693
"477","Harrow","Harrow",0
"478","Harrow","Havering",16.2194559566426
"479","Harrow","Hillingdon",22.9300918304184
"480","Harrow","Hounslow",24.0683334589554
"481","Harrow","Islington",22.4932668955334
"482","Harrow","Kensington and Chelsea",4.66393207356621
"483","Harrow","Kingston upon Thames",11.5297168255502
"484","Harrow","Lambeth",25.7407893724246
"485","Harrow","Lewisham",15.2079972969343
"486","Harrow","Merton",16.9254444558606
"487","Harrow","Newham",21.0157539763955
"488","Harrow","Redbridge",12.2879172574893
"489","Harrow","Richmond upon Thames",12.7154430437364
"490","Harrow","Southwark",21.7232632562894
"491","Harrow","Sutton",13.1264124755197
"492","Harrow","Tower Hamlets",25.8568061139865
"493","Harrow","Waltham Forest",9.71759856476231
"494","Harrow","Wandsworth",6.58310649049907
"495","Harrow","Westminster",16.3360512484335
"496","Havering","Barking and Dagenham",33.4282882500936
"497","Havering","Barne",9.31654350691962
"498","Havering","Bexley",36.847716162126
"499","Havering","Brent",6.70098059090569
"500","Havering","Bromley",37.0784877405571
"501","Havering","Camden",13.9651434020334
"502","Havering","City of London",19.5858335342875
"503","Havering","Croydon",15.6553971154489
"504","Havering","Ealing",32.2276856375896
"505","Havering","Enfield",8.39983463887082
"506","Havering","Greenwich",18.5588697740143
"507","Havering","Hackney",30.7559687828512
"508","Havering","Hammersmith and Fulham",19.9188728098112
"509","Havering","Haringey",14.1558447550684
"510","Havering","Harrow",16.2194559566426
"511","Havering","Havering",0
"512","Havering","Hillingdon",39.1203001577026
"513","Havering","Hounslow",9.56590643604202
